name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist,has_preview,artist_encoded,avg_danceability,avg_energy,music_cluster,music_genre_label
Un-Break My Heart,Toni Braxton,5Ihd9HrPvOADyVoonH9ZjB,https://p.scdn.co/mp3-preview/999369d50fea3292c71022f19b92f3ed23893015?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730640641b5dafdf01d7043765,0.28322999749328864,-0.8820819925843072,-0.05178242385356268,-0.6290707219823493,0.44919951408881426,-0.37139085010420386,-0.45428035775210335,-1.5114330450044242,-0.25889095008295154,0.7405129186613459,-0.23564979815844767,-0.47237218117633795,-0.26269316129315784,-0.5236538176715466,0.12214431108689622,True,982,0.5118714580773173,-0.5588658953713774,3,Dance
Say You Like Me,We The Kings,4P3szOfvcaRQcERvg7e8CD,https://p.scdn.co/mp3-preview/89c6c8b539f163b0319b83fc06d7e7360da138f1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e55c2d7f591caa29205b1520,-0.9600906386363537,0.45923272776849683,0.7240625940368747,-0.18741966317613856,-0.80630864793165,-0.37139085010420386,0.16872967447190124,-0.6141696142418798,-1.0087852635775256,-1.0005611065540467,1.000471870410801,-0.47286369176011656,0.43575093087174355,-0.31138848057098334,-0.4751526622578881,True,1022,-0.9803258725952002,0.729852299089649,0,Energetic
Seven Years,Saosin,0C71NJD4BhvPopTwI7a8KV,https://p.scdn.co/mp3-preview/48d2a46d9f9179c6957dae9396406c20f29c04e6?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273539b8ed51ec974d6966e5955,-1.969923831361368,1.2901729790562393,0.6796852451768497,0.17984805941007853,-0.8923166417371243,-0.37138100975855715,0.9441783316017796,-1.078405911027718,-1.1030300422101202,-1.5179463178968506,1.5621290928987734,-0.40200657400561984,1.4720736590957333,-0.022102358102294904,-1.4293281129232247,True,839,-1.7439350746291093,1.4261510359775063,0,Energetic
New Noise,Refused,2yuSLHwPoOoB1zDuXnQnqZ,https://p.scdn.co/mp3-preview/a53b6da5e4a514b7237cd7e6b75a6fd5d77560c3?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b9dbbd9d2f7215c1e52b4dd4,0.6042752321746518,0.5393741733241671,-0.0074050749935373385,0.11127592133227228,-0.8777735368435522,-0.3522890026722559,-0.5205580207546571,-0.4464203641427954,-1.0869500255580147,0.5884720903458133,0.5579973113986764,-0.4562583130790665,-0.19640785688825824,0.057972942853948696,0.20661054974171483,True,796,0.5963736612602326,0.5486857423614218,5,Emotional
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,4rTeOSYqwXNz5qPR2DUTFZ,https://p.scdn.co/mp3-preview/331ae7f182384985b601fc75ae7f0e7a0c821de5?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8,0.9253204668560145,1.0033509633833129,0.877297200356961,-0.4768173306570503,-0.8111812539938251,-0.3713773299654371,0.5332568209859466,0.3377098514366454,-0.5348392487388505,0.5393464239371137,0.4044633972124261,-0.4728243102828963,-0.1652721015980474,-0.6728864843793225,0.3238290033851362,True,88,0.7323334453965642,0.7039071802978695,5,Emotional
Loud,Tech N9ne Collabos,7LG1SR44Kh4f9lgyXSdWTD,https://p.scdn.co/mp3-preview/239317022ebf51253ed253eee0bc099e4f488c8b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c0bab8679cd545eb4a353f80,1.6841546579210545,1.0244408174769104,1.0396348525970525,2.2056317317764607,-0.07379353658465204,-0.37139085010420386,-0.5139302544544018,1.0282125785886906,-0.3370451969789367,1.202542920454565,1.0880945205377528,-0.47286369176011656,2.553105030992211,1.7396795763951216,-0.032997759911748366,True,913,1.4433487891878096,1.0562676690073316,1,Chill
Leader of Men,Nickelback,4Vf9v7ohVz5i8PeZBliwb5,https://p.scdn.co/mp3-preview/4d678f7b96e1be2c11aedda407aaf1e123fb7706?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27357167ec58ca07f6d952d74cb,-0.4756041935717512,0.25677012846995984,0.42290349151670514,-0.45357253808830233,-0.8840429566435508,-0.3713424752957723,-0.47416365665286947,-1.0940104924322844,-1.0827061801094104,-0.23766163517794117,1.2360474017558176,-0.3607830932439618,-0.2555480720250091,-0.49122468784019535,0.3814666333985731,True,693,-0.3566329143748462,0.7464087651128888,0,Energetic
Carry On,Avenged Sevenfold,1hrfvLgEC9lci0kB89QEQ0,https://p.scdn.co/mp3-preview/bb58ffa67a3cafaca1f8fa8f7480bd20d4c3c110?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734799eecf1843c6d9742bc023,-0.6156966596145279,1.4757636950798978,0.8535913516069477,1.2758400290265433,-0.8918066423026166,-0.37121843732543497,-0.8539346656575021,-1.4022009751724622,-1.060475895653604,-0.861677864268706,1.2864803347129383,-0.3748319910574961,0.03984049837282806,-0.3232578885387143,-0.5625410212822328,True,79,-0.7386872619416169,1.381122014896418,0,Energetic
Do You Mean,The Chainsmokers,5vDCp6yZAikAoJ6NOEEFdp,https://p.scdn.co/mp3-preview/bd6348f45c00688038343b744c179cb082bf5316?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,-1.2869730594028324,0.10914114981477692,-0.3222187463937148,-0.2083399764880118,-0.47334723368301457,-0.37139085010420386,-0.4675358903526141,0.2011697641466933,-0.6991102507637181,0.2689491039251655,0.3169014261585499,-0.3161478442270357,-0.5009549511758186,-0.3392162413135859,-0.5520716513718548,True,928,-0.5090119777388334,0.2130212879866634,0,Energetic
WONDERLAND,ATEEZ,6k67RdkVjTZj79c1cRz7IQ,https://p.scdn.co/mp3-preview/2053da08535ff537dc542c1e4e0d0f534f946827?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273f93e83e47994599d8fe1ea2b,-0.026140865017842622,1.387186307886788,1.170111844117126,0.4855170816891138,-0.7289966317451375,-0.37139085010420386,1.2424278151132717,0.07633311291016527,-0.8646653938079143,0.011323240528411724,1.519665808606479,-0.47286369176011656,1.9972009981130632,0.015679650095369868,0.1816154383030446,True,16,-0.007408812244715449,1.4534260582466336,0,Energetic
Rosas,La Oreja de Van Gogh,06p2Ij0lXD45LODQDCov0u,https://p.scdn.co/mp3-preview/70ab38b5fc9e3c5c8c646beb8225daaeda269306?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730f1c7d18178dc43bbb8fb634,1.2055053989415674,0.2441162160138013,0.5808792675867941,-0.6302329616107867,1.1281159587518856,-0.37135653293241055,-0.500674721853891,0.11144342107043878,0.07593322738365293,0.3288522710340146,0.13169924164075797,-0.47280770632218705,-0.5800906403656312,-0.7523352180354397,-0.4001673279418757,True,528,0.767178834987791,0.18790772882727963,5,Emotional
Enciende Una Luz,Marcos Witt,74OPzQUZXb8cPwyaewLo58,https://p.scdn.co/mp3-preview/e5dc137e5bb85ef205a22b2b980b389cfbb9f35f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273080cf5869274096933015221,-1.1527177794451713,-1.5316494986671112,-1.795205364324545,-0.35478216967112364,1.8622552721196084,-0.36957576113826773,4.708749590146829,-1.133021945943699,0.8634934198267862,-0.6126432782252272,-0.8546274221621154,-0.4398058000316529,4.034233423092366,-0.6658930293602111,-0.8850857498581562,True,612,-0.8826805288351993,-1.1931384604146134,3,Dance
